id   name   card_no  cvv

1    2    1    1
2    QAZX    21213    3123
123    1    122    22
2    pepsi    12343    12
1    cola    123344    12
1    cola    112    21
1    cola    12    3123
1    cola    123333    121
1    cola    123    312
1    cola    123    31
1    cola    12133    21
1    cola    123313    12
1    cola    123    2
3    pepsi    123    3123
2    pepsi    123    1
pepsi    1234    22
pepsi    123    2
pepsi    1233    1
pepsi    134    3
pepsi    12343    2
pepsi    1234    12
pepsi    12345    12
pepsi    1234    23
pepsi    12345    1213
pepsi    12345    32
pepsi    12356    23
pepsi    12345    32
pepsi    213213    21
qwe    12313    21
pepsi    1233214    33
pepsi    132234    212
pepsi    1324    321
pepsi    124215    323
choco    1`3    32
choco    123    3
choco    1345    32
choco    123456    345
choco    12345    1334
choco    123456    234
choco    1234    32
qwe    1234    21
